"place_id","name","alt_name","type","address","suburb","postcode","region","latitude","longitude","summary_html","history_html","source_html"
107,"Bowen Aerodrome and Explosive Stores","Bowen Airport","Airfield","Bowen Connection Road",Bowen,4805,Fitzroy-Mackay,-20.0178985595703,148.215454101562,"<p>By 1939, when work began on Bowen aerodrome, the town already had a long association with amphibious aircraft of the RAAF, extending back to about 1926. Initial construction of the aerodrome was undertaken by the local Bowen and Wangaratta Councils with government advances. A single gravel runway had been completed by mid-1940 when the Department of Civil Aviation set about development of the airfield as a RAAF Advanced Operational Base. However, the site was soon considered inadequate for this purpose. Although it fell short of requirements for an operational base the aerodrome was taken over by defence authorities and extended, with a second runway being provided. The Main Roads Commission carrying out the subsequent work.</p>","<p>With the outbreak of the Pacific war Bowen, like other airfields on the north Queensland coast, provided a brief rest and refuelling stop for aircraft transiting northward to New Guinea. During 1943 Bowen aerodrome was used by amphibious aircraft of RAAF No.9 Fleet Co-operation Squadron, for the servicing and repair of naval spotter aircraft and for the delivery of mail and messages to ships of the RAN.</p><p>Bowen was selected as the aerodrome for carrying out chemical warfare trials for the 1st Australian Field Experimental Station based at Gunyarra railway siding near Proserpine. These tests were conducted on an irregular basis from 1944 and involved mustard gas bombing trials over Mission Beach, Hinchinbrook Island and the Tully rainforest. Two 'igloo-shaped' reinforced concrete explosive stores, located south of the aerodrome near the Bruce Highway, may have been constructed during this period for the storage of chemical weapons including mustard gas and phosgene bombs. The stores are similar to others built at the main RAAF chemical weapons stockpile at Talmoi siding in western Queensland.</p>","<p>Pearce, Howard (contributing author).<br/>Main Roads Commission, The History of the Queensland Main Roads Commission during World War II 1939&#8211;1945, Government Printer, Brisbane, 1949.</p><p>Roger Marks, Queensland Airfields WW2: 50 years on, Brisbane, 1994.</p><p>Peter Nielsen. Diary of WWII North Queensland, Nielsen Publishing, Gordonvale, 1993.</p><p>Howard Pearce. WWII: NQ: A cultural heritage overview of significant places in the defence of north Queensland during World War II. Environmental Protection Agency, Brisbane, 2009.</p>"
108,"Bowen Chemical Research Unit, Bowen Aerodrome","RAAF Special Duties Flight Detachment, No.1 Aircraft Performance Unit","Scientific facility","Bowen Airport, Bowen Connection Road",Bowen,4805,Fitzroy-Mackay,-20.0210132598877,148.215515136719,"<p>The Bowen Chemical Research Unit grew from the Royal Australian Air Force's Special Duties Flight Detachment, No.1 Aircraft Performance Unit, which had been formed at RAAF Laverton, Victoria. The RAAF unit was part of a larger collection of facilities at Innisfail and the Australian Field Experimental Station (AFES) at Proserpine and specialised in the delivery of chemical and special warfare for research units in the region.</p>","<p>The RAAF unit moved to Bowen in early 1944 and shared the airstrip with the RAAF 9 Squadron. When the 9 Squadron moved out, the Chemical Research Unit took over the airfield and formed as a separate unit on the 15th August 1944. It was eventually disbanded in December 1945.</p><p>Following the departure of the 9 Squadron RAAF, the Chemical Research Unit took command of all the facilities on the Bowen Airstrip and in December 1944 it constituated 12 officers and 112 airmen. The unit was equipped with Vultee Vengence A27 and Beaufort A9 aircraft. It was divided into four sections: a headquarters; a flying and technical flight; a meteorological flight; and a medical research section. The headquarters and flying and technical flight were located at Bowen, but the unit aircraft mainly operated out of Cairns.</p><p>The main task of the Chemical Research Unit was low-level spraying and low/high level bombing support to the units at Innisfail and Proserpine. Munitions were stored at the Bowen Aerodrome as canisters and bombs. The aircraft would load at Bowen and then drop bombs or spray at North Brook Island, Mission Beach or Mourilyan Harbour and then fly to Cairns. The route was reversed every few days. In the case of inclement weather, the unit would fly out to sea and jettison the ammunition to avoid risk of accident on return.</p><p>Ammunition stored at the airstrip consisted of 65 lbs bombs, 44 gallon and 540 lbs drums, mustard gas and other chemicals.</p>","<p>Plunkett, Geoff. & Australian Military History Publications. 2007 <cite>Chemical warfare in Australia / Geoff Plunkett</cite> Australian Military History Publications, Loftus, N.S.W.</p>"
109,"Royal Australian Air Force (RAAF) 55 Radar Station",,"Radar/signal station","Cape Edgecumbe",Bowen,4805,Fitzroy-Mackay,-19.983959197998,148.261978149414,"<p>Evidence of RAAF 55 Radar Station can be found north of Bowen on the windswept headland of Cape Edgecumbe, overlooking Horseshoe and Murrays Bay. This installation was erected here in March 1943 as RAAF 42 Radar Station and was redesignated as 55 Radar Station several weeks later on 1 April 1943. Since May 1942 Bowen had been an important Catalina flying boat maintenance base and the radar unit was needed not only for air defence, but to assist in the navigation of Allied aircraft, particularly those lost or suffering mechanical problems.","<p>The tower was an Australian-made transportable Air Warning (AW) radar tower, of bolted steel construction with parts prefabricated for air transport and easy erection and dismantling. The radar was a British Mk V COL set. The transmitter/receiver was designed by the Royal Air Force for coastal defence use. COL was the overseas version of the British CHL (Chain Home Low Flying). CHL stations were for the detection of low flying aircraft and formed part of the British 'Chain Home' network.</p><p>RAAF 55 Radar Station was reduced to a care and maintenance unit from January to October 1945 and the unit was disbanded in April 1946. The only remaining evidence of the radar tower are the steel tie-down bolts on the rock surface. A light anti-aircraft gun pit nearby probably contained a World War I Lewis or Vickers machine gun.</p>","<p>Pearce, Howard (contributing author).<br/>Peter Nielsen. Diary of WWII North Queensland, Nielsen Publishing, Gordonvale, 1993.</p><p>Howard Pearce. WWII: NQ: A cultural heritage overview of significant places in the defence of north Queensland during World War II. Environmental Protection Agency, Brisbane, 2009.</p><p>PD Wilson. North Queensland: WWII 1942&#8211;1945, Department of Geographic Information, Brisbane, 1988.</p>"
111,"Bowen Royal Australian Air Force (RAAF) Flying Boat Base","Port Denison Sailing Club","Airfield","Quay Street",Bowen,4805,Fitzroy-Mackay,-20.0182914733887,148.246017456055,"<p>The association of RAAF amphibious aircraft with Bowen extends back to the late 1920s when 101 Flight operated Supermarine Seagull III bi-planes from the seaplane tender HMAS Albatross, to obtain aerial photography over parts of the Great Barrier Reef. From the early years of World War II, RAAF No.9 Fleet Cooperation Squadron operated Seagull V (Walrus) amphibious aircraft from Bowen.</p><p>Consolidated Catalina flying boats of RAAF Nos.11 and 20 Squadrons were initially based at Port Moresby, flying long range patrols often involving night bombing of Japanese island strongholds. As Port Moresby came under attack causing the destruction of several Catalinas, the squadrons moved to the comparative safety of Bowen and continued to mount operations against the Japanese.</p><p>A temporary timber slipway was built at Bowen in mid-1942 and this was replaced by a permanent concrete maintenance hardstand and slipway. The construction proved difficult, but the concrete slipway and expansive apron, remain intact as evidence of the important wartime role played by Bowen as a major flying boat repair depot.</p>","<p>A Japanese attempt to capture Port Moresby and gain a foothold in the Solomon Islands was thwarted in early May 1942 during the Battle of the Coral Sea. RAAF Catalinas flew many hours of reconnaissance missions over the Coral Sea searching for the Port Moresby invasion fleet. As the battle began</p><p>an urgent request was made by the RAAF for a flying boat slipway at Bowen to maintain the Catalinas of Nos. 11 and 20 Squadrons, based there. The first slipway was built at the harbour end of Brisbane Street, north of the town jetty. This section of Brisbane Street is still of concrete construction. The slipway was prefabricated with heavy timbers bolted together in sections. The majority of the structure was underwater and suffered badly from marine borers.</p><p>In August 1942 RAAF No.22 Operational Base Unit was established at Bowen to undertake administration and maintenance of the base. The RAAF took over the local picture theatre as a maintenance workshop and most of the squadron officers and ground crews were accommodated in various hotels, houses and shops in the main streets of Bowen. The Denison Hotel served as squadron headquarters and officer's accommodation. Adjacent shops were used as an airmens' mess, station headquarters, and station store and guard room. Private houses along Dalrymple and George Streets became airmens' barracks, electrical shops, carpenters' shops, an instrument makers' shop, a sergeants' mess, transport sections and a photographic section. Elsewhere in the town houses were converted into a hospital and dental clinic, a parachute store and general equipment stores. Many of the wartime requisitioned buildings in the town survive as private shops and dwellings.</p><p>In November 1942 Nos. 11 and 20 Catalina squadrons moved their base from Bowen to Cairns. RAAF No.43 Catalina Squadron was formed at Bowen in May 1943. The squadron moved to Karumba on the Gulf of Carpentaria during August to conduct night minelaying operations at Japanese-held ports in the Netherlands East Indies.</p><p>RAAF No.1 Flying Boat Maintenance Unit was formed at Bowen in October 1943. Following the decision to upgrade the development of Bowen as a flying boat repair depot, the AWC placed an order for a concrete slipway. The MRC was again responsible for supervising construction of the slipway and additional buildings erected through the Department of Public Works. From the new slipway and concrete maintenance hardstand, additional roadwork was undertaken along Thomas Street and Sinclair Street to provide access within the town, for up to four aircraft hideouts with maintenance hardstands and tie-downs.</p><p>Requisitions for additional buildings and services including two cantilever maintenance hangars at the repair depot were received by the AWC in April 1944. The cantilever hangars were designed to cover and shade the nose and wings of the flying boats during maintenance. No.1 Flying Boat Maintenance Unit was disbanded in March 1947. Following the war one of the hangars was dismantled and re-erected at the Rose Bay flying boat base at Sydney. Part of another wartime building is now incorporated in the clubroom of the Port Denison Sailing Club.</p>","<p>Pearce, Howard (contributing author).<br/>Allied Works Council (Queensland), AWC Minutes (1942&#8211;1945) BP1/1, National Archives of Australia, Canberra.</p><p>Australian War Memorial, War diaries and photographic collection, Canberra</p><p>National Archives of Austral, Department of the Interior (later the Department of Housing and Construction), Drawing Series BP378/1 (1942&#8211;1958), Brisbane.</p><p>Howard Pearce. WWII: NQ: A cultural heritage overview of significant places in the defence of north Queensland during World War II. Environmental Protection Agency, Brisbane, 2009.</p><p>Roger Marks, Queensland Airfields WW2: 50 years on, Brisbane, 1994.</p>"
116,"Royal Australian Air Force (RAAF) Squadron Headquarters","Grand View Hotel","Headquarters","Dalrymple Street (cnr Herbert Street)",Bowen,4805,Fitzroy-Mackay,-20.0154323577881,148.248291015625,"<p>This is an important local WW2 historic place. If you have information or images, modern or contemporary, please contact us at <a href=""mailto:heritage@ehp.qld.gov.au"">heritage@ehp.qld.gov.au</a>.</p>",,"<p>AWM photographic reference</p>"
120,"4th Base Supply Depot (BSD) Storehouse No.7","Underground concrete oil tanks","Supply facility","Campbell Street",Bowen Hills,4006,Brisbane City,-27.447925567627,153.033813476562,"<p>Prior to World War Two, Australia's main naval base was at Sydney. Brisbane was designated a naval station but with no permanent warship allotment. The Royal Australian Navy (RAN) had a small depot on the Brisbane River, at the Parliament House end of Alice Street, the City. This had a small wharf with all other berths along the Brisbane River given to commercial shipping. By April 1942, the Pacific War had changed Brisbane into a US submarine base and a busy port along the New Guinea convoy route. New berthing facilities were needed to accommodate the Allied warships arriving as convoy escorts or on other duties.</p>","<p>This was a major construction project undertaken by the Allied Works Council (AWC). Contractors drawn from the Sydney Water Board undertook the construction. They implanted 10 Naval Berths along the Brisbane River supported by a two-way refuelling facility comprising six separate oil storage depots. The six depots were planned to have a total capacity of 85,000 tons of fuel oil.</p><p>The oil depots were built in three widely spaced groups for protection of Brisbane's naval fuel stocks in case of air attack. Each group comprised two separate oil depots. Each oil depot was to consist of three steel-plated, reinforced concrete and cylindrical oil tanks, with each tank meant to hold 5,000 tons of fuel oil. A single pipeline that led to one of three naval oiling berths on the Brisbane River was connected to the three oil tanks in each depot.</p><p>The six RAN oil depots were built in suburbs located on both sides of the Brisbane River. The depots were positioned far enough from the river that they were not easily seen and could not be bombarded or easily assaulted by enemy raiders who had entered the Brisbane River. The depots were built off Campbell Street, Bowen Hills where the oil storage tanks were built underground; on a hill off Colmsle Road, Colmslie, at 701 Eagle Farm Road (now Kingsford Smith Drive), Whinstanes (now part of the suburb of Eagle Farm); 141Anton Street, Hemmant, at 506 Lytton Road, Cannon Hill (now part of the suburb of Morningside) and at Newstead. The Whinstanes depot was the last to be completed as it was still under construction in August 1943.</p><p>The 10 RAN berths, designated 'A' to 'J', consisted of four timber dolphins (marker buoys) imbedded into the floor of the river. The dolphins were designed especially for heavy duty. Although of varying lengths, the 98-feet berth laid on the Quarries Reach of the river, near Gibson Island, was the largest so as to accommodate large Allied heavy and light cruisers. Each berth featured a central wharf. A timber viaduct strong enough to get a truck onto the wharf connected the wharves to the riverbank. Road construction from the existing local road network to each berth was also undertaken. Berths 'D', 'E' and 'F' were the oiling berths and each was connected to one group of two naval oil depots. These three berths' wharves were reticulated for oiling purposes. Each had an onshore hose-rack building, fire hydrants and water cocks for safety purposes. Water supply for the berths was a concern. In August 1943, the Allied Works Council (AWC), overseeing the project, discussed augmenting Brisbane's water supply to meet the increased demand.</p><p>The sites chosen for the berths had to be of sufficient depth. Most had experienced no previous dredging. The dredging of these sites became a major undertaking. Involving the removal of 1, 250,000 yards of thick, heavy mud, Brisbane's existing dredging machinery proved inadequate for the task and plant was brought from across Australia to complete the task. A 500-ton dumb barge was re-equipped with twin screws and used with the removal of fill. A second dumb barge was added to the operation. The aggregation of river dredges and attendant vessels was the largest assembly of its type in Australia during the war.</p><p>A limited supply of concrete plus the labour shortage that bedevilled the Australian Government during 1942&#8211;1945, led to this project being reduced in scale. As the Bowen Hills and Colmslie depots were the first to be completed, they had three oil storage tanks. Only two oil tanks were completed subsequently at the Cannon Hill, Hemmant, Newstead and Whinstanes depots. Each tank's oil storage capacity was halved to 2,500 tons. Five oiling berths had been proposed but only three built. In October 1944, the AWC reported that 10 destroyer berths had been completed, with another five cruiser berths proposed.</p><p>After the war, the Commonwealth sold some depots to private industry. The Bowen Hills depot went to Shell Oil. The Furnace Oil Company bought the Cannon Hill depot. The Colmslie and Newstead depots were sold to Vacum Oil. The Bulimba depot became a joint Shell and Vacum Oil facility. As housing replaced industry in these suburbs, the oil storage tanks were demolished. A single oil storage tank survives at both the Hemmant and Whinstanes depots, while the footprint of the three Colmslie depot oil tanks can be seen from the air.</p>","<ul><li>Brisbane City Council 1946 aerial photographs of Brisbane suburbs.</li><li>National Australian Archives file, Series BP1/1, Item Vol.21, Allied Works Council - Queensland, minutes of August 1943 meetings.</li><li>NAA file, Series BP 262/2, Allied Works Council expenditure report on Queensland projects, 3 October 1944.</li><li><a href=""http://www.ozatwar.com/locations/cruiserberthsbrisbane.htm"">Cruiser berths, Brisbane River, Brisbane</a></li><li><a href=""http://www.ozatwar.com/locations/navalfueltanksmurrarie.htm"">RAN Naval Fuel Tanks, Murrarie, Brisbane</a></li><li><a href=""http://www.ozatwar.com/locations/navalfueltankscolmslie.htm"">RAN Naval Fuel Tanks, Colmslie, Brisbane</a></li><li>History of Qld Main Roads Commission</li></ul>"
121,"USN Torpedo Repair Shop","Benedict Stone Factory","Naval/port facility","Light Street",Bowen Hills,4006,Brisbane City,-27.4499130249023,153.038314819336,"<p>US Naval Base, Navy 134 Brisbane operated the main torpedo supply depot for US submarines in Australia. The establishment of a torpedo Repair Unit was requested by Commander US Seventh Fleet, to enable the local servicing of torpedos.</p>","<p>The Benedict Stone Factory was owned by the Catholic Church in Brisbane, and had been used to manufacture cast stone. The building, approximately 160&#8242; x 45&#8242;, was timber framed and lined with galvanised iron. It was obtained through the Australian Army Hiring Service for the US Navy, which took possession from 22 September 1942, and converted into a Torpedo Repair and Conditioning Shop.</p><p>The navy added a 75&#8242; extension to the building, new crane-rails, a compressor and generator shed, toilet facilities, and a second floor over the workshop. Electric power and lighting were also installed. The torpedo shop could hold seventy-two torpedos on two racks. Reinforced concrete retaining walls were constructed around more than half the perimeter of the property to prevent the movement of the earth upon which the buildings were located. An additional two-story building 31&#8242; x 60&#8242; was built on the site to house barracks, mess hall and galley for personnel working there.</p><p>The US Navy ceased operations on the site from 6 April 1945, after which it was occupied by the Royal Navy Fleet Air Wing.</p>","<p>United States Navy Bureau of Yards and Docks Section, Defense Aid - Reciprocal and Review Board Report US Naval Base, Navy 134, Brisbane, (1946).</p>"
122,"Bowen Park","Private Pill Shelter","Civil defence facility","Bowen Bridge Road",Bowen Hills,4006,Brisbane City,-27.4486923217773,153.029815673828,,,
123,"Camp Luna Park","Cloudland Entertainment Venue","Military camp","Boyd Street",Bowen Hills,4006,Brisbane City,-27.447681427002,153.040344238281,"<p>In late 1942 the amusement area known as Luna Park in Bowen Hills was hired by the US Army as a camp for members of its Signal Corps and guard detachments. Various detachments were quartered there during the war, making particular use of the large Cloudland ballroom as barracks. Mr. D.H. McInnes remained the wartime trustee of the amusement park.</p>","<p>In mid-1942 16 officers and men of the US 837th Signal Service Detachment arrived in Melbourne where the unit was augmented and integrated with Australian personnel. Following the movement of Macarthur's headquarters, the detachment arrived in Brisbane in September 1942. The 837th was deactivated in May 1943, becoming the Special Intelligence Service (SIS), a combined command under US and Australian officers commanded by Colonel Harold Doud. Later that year, command fell to Colonel A. Sinkov. While the headquarters and some accommodation for the SIS was in Henry St, Ascot, the expanding unit saw a number of personnel quartered at Luna Park. The US troops were unimpressed, describing their quarters as ""a magnificent, jerry-built, unsuccessful Coney Island.""</p><p>Other units known to have been quartered at Camp Luna Park included the 832d Signal Photographic Detachment, and GHQ guard detachment. After the US forces left 'Cloudland' was occupied 1st Australian Chief Engineers (1st CE) Camp, officers for that unit being billeted in the nearby residence 'Montpelier'.</p>","<p>Special Intelligence Service in the Far East 1942&#8211;1946: an historical and pictorial record, SIS Record Association, 1946.</p><p>Roger Marks, Brisbane&#8212;WW2 v Now: Vol 2, Cloudland & Cintra, Brisbane, 2005</p><p>NA digital camp layout image 3279358 in Series BP378, Item I-L (46&#8211;66)</p>"
124,"Cintra","US 832nd Signal Photographic Detachment","Headquarters","55 Boyd Street",Bowen Hills,4006,Brisbane City,-27.4468059539795,153.04035949707,"<p>The original 'Cintra', a two-storeyed Georgian influenced stone house (now called Cintra House, 23 Boyd Street), was built in 1863&#8211;64, and was extended to the south by later residents. The southern extension later became a separate residence at 55 Boyd Street, the Cintra Nursing Home, while the 1860s residence became Our Lady of Victories Convent in 1927. During WWII the US Army occupied the adjacent 'Luna Park', and 'Newstead House' as well as the residence at 55 Boyd Street (today's 'Cintra').</p>","<p>'Cintra' became Headquarters of Photo Unit 1, a 12-man detachment of the US Army's 832nd Signal Service Battalion, which moved to Brisbane from Sydney in late 1942. The 832nd was part of the US Army Signal Corps that had been made responsible early in the war for the production of films as part of the Army Pictorial Service. These films were most often used for training purposes, however a considerable amount of footage found its way into publicly displayed newsreels on the war effort. The Unit were also involved in providing the images utilised in General Douglas MacArthur's public relations campaign.</p><p>A photographic laboratory and offices were established in 'Cintra', the front veranda being enclosed to give more space for the unit. The members of Photo Unit 1 were billeted at nearby Newstead House. They undertook a range of work while based at 'Cintra', and with its own Brisbane-based film-crew and a Mitchell camera, complete with a roof-mounted shooting platform on an Army xxx sedan, the unit also took motion pictures for the Army Pictorial Service. The detachment also specialised in still photography, and had the capability for photographic duplication, and by July 1943 was operating a 'radio photo set' that was capable of transmitting images by radio.</p><p>Photo Unit 1 requisitioned Brisbane's oldest house (built 1842) 'Newstead House' on 15 August 1942. The grand home at 199 Breakfast Creek Road is surrounded by Newstead Park and overlooks the Brisbane River. The Battalion used 'Newstead House' as a billet, with its soldiers sleeping on US Army cots throughout the house. Among those billeted there was the unit mascot 'Blackie' the Labrador dog. Having been a museum and tourist attraction, the Americans were not permitted to alter or damage 'Newstead House'. The troops slept but not cooked there, instead eating at the mess at 'Cintra'. An army truck collected them daily for 'chow' call. But the troops sometimes 'borrowed' the museum's antique furniture to relax on the verandahs. The Park was used for recreation including volleyball games. The Breakfast Creek Road tramline took troops on leave to the City.</p><p>Additional detachments of the 832nd rotated through the site until January 1945.</p>","<p>BCC Heritage Unit files</p><p>Marks, R ""Brisbane - WW2 v Now"", Volume 2, 2005</p><p><a href=""http://www.gordon.army.mil/ocos/ac/Edition%2c%20Fall/Fall%2001/APSWW2.htm"">http://www.gordon.army.mil/ocos/ac/Edition,%20Fall/Fall%2001/APSWW2.htm</a></p><p><a href=""http://www.ozatwar.com/locations/newsteadhouse.htm"">Newstead House</a></p>"
126,"Royal National Agricultural and Industrial Association of Queensland Exhibition (Ekka) Grounds","The Ekka","Military camp","574 Gregory Terrace",Bowen Hills,4006,Brisbane City,-27.4500923156738,153.032608032227,"<p>Used as a showground since 1876, the Exhibition Grounds (locally known as the Ekka) have a long association with the Royal National Agricultural and Industrial Association of Queensland (RNA). Because of it's wide open area close to the centre of the city, the exhibition grounds have been used as military camping grounds during a number of conflicts. In that time the RNA's Exhibition have only been cancelled twice: once after WWI during the 1919 influenza epidemic, and again in 1942 when the grounds were occupied by military personnel.</p><p>The Ekka had been used for military tournaments during the 1890s, and when heavy rain in late December 1899 flooded the Pinkenba mobilisation camp for Queensland troops bound for South Africa, they were evacuated to the Exhibition Grounds. From January to late March 1900 the grounds were as a campsite for assembling contingents. During WWI [1914&#8211;18] a recruiting and training camp, complete with rifle range, was established at the Exhibition Grounds, though the annual Exhibition occurred with minor interruption. Returning servicemen from the war brought with them the influenza virus which was devastating Europe, and the grounds were used to erect isolation wards for the nearby Brisbane General Hospital.</p>","<p>During the Second World War, the Exhibition Grounds were again occupied from late 1939 to 1944 by military authorities as a venue for training, accommodation and embarkation of troops. Troops at the exhibition grounds initially slept in pig and cattle pens; the bars beneath the John MacDonald Stand became wet canteens; and troop trains departed from the railway platforms normally used by show patrons. In 1940 and again in 1941, the military vacated the grounds temporarily for the August Exhibition. Following the entry of Japan into the war in December 1941, American troops were stationed at the showgrounds and the Exhibition of 1942 was cancelled, but a limited Ekka was held in 1943 and 1944.</p><p>As late as May 1944 the Ernest Baynes Stands housed some of the facilities of 4th Australian Camp Hospital, including wards, kitchens, and quarters for nursing staff and women of the Volunteer Aid Detachment, and a Regimental Aid Post. Other units known to have been based at the site included 31 Australian FOD located in buildings adjacent to the corner of Gregory Tce and Costin Street. The 4 Australian Base Supply Depot occupied structures located between Gregory Tce, Alexandria Street and Water Streets. At some stage barracks associated with the 6 AWAS was also located in Costin Street. A Leave and Transit Depot (LTD) was located at the Grounds and recruits signed up here for the AIF and were despatched to various camps to begin training. A large number of tents and prefabricated huts were allocated to the LTD, including special areas set aside for the RAAF. The LTD was moved to Moorooka in March 1945. The US military had stores on O'Connell Street, and a US RTO was located at the railway station.</p><p>Following the war the RNA purchased a number of buildings from the military, for use on the site. The RNA Council Stand, erected in 1923, bears a brass plaque dedicated to military personnel stationed at the site during both world wars.</p>","<p>6th AWAS Barracks (Costin St), 31st Aust BOD and 7th BOD stores, 4th Australian Camp Hospital, Brisbane Exhibition Leave & Transit Depot (l.T.D.),<br/>BCCHU files</p><p>Sinclair B and Rough B, ""Meeandah Mobilisation Camp, 1899"", QLHF, Brisbane, 2001</p><p>DERM Citation</p><p>NAA Brisbane Exhibition Ground - Site Plan [1/E/18]</p>"
127,"Mayne Railway Yard","Mayne Junction Rail Transport Office (RTO) & USN Store Warehouses B-1 & R-1","Civil defence facility","Abbotsford Road (across from junction with Allison St)",Bowen Hills,4006,Brisbane City,-27.4391326904297,153.040008544922,,,"<p>USN Bureau of Yards & Docks Section 1946 report</p>"
128,"Old Queensland Museum","Private shelter","Civil defence facility","480 Gregory Terrace",Bowen Hills,4053,Brisbane City,-27.4516735076904,153.029525756836,,,
129,"Camp Perry Park (United States Navy)","Perry Park","Supply facility","Abbotsford Road",Bowen Hills,4006,Brisbane City,-27.4434986114502,153.039825439453,"<p>The United States Navy initially established its Naval Supply Depot at New Farm Wharf near to the location of its Submarine Repair Unit. As the Base expanded it became necessary to move the Naval Supply Depot from New Farm Wharf. Some facilities were moved to Newstead Wharf, and others to Perry Park.</p>","<p>Perry Park was Brisbane City Council controlled public park approximately three miles from the Brisbane's centre, and was considered 'an ideal location for the supply depot.' The park was obtained from the Brisbane City Council through the Australian Army Hiring Service, and a portion was transferred from US Army to US Navy.</p><p>A large Administration building, large warehouses with loading docks(which included a medical supply depot), quarters for enlisted personnel, and a specially constructed building for the US Navy's Registered Publications Issuing Office were built in the Park, No 1 Store was built by AWC labour by December 1942, No 2 Store by contractor Carrick in January 1943. Local firm Baxter & Hargreaves had completed stores numbered 3 and 4 by September 1943, and No 5 Store was built towards the end of the year. A number of smaller buildings were also built in the park during the war.</p><p>The US Navy occupied the site from 7 November 1942 until 23 November 1945. Perry Park was transferred back to Australian Army Hiring Service and subsequently occupied by the Royal Australian Navy and Netherlands East Indies Government.</p>","<p>US Naval Base, Navy 134, Brisbane, Bureau of Yards and Docks Section, USA Naval Archives.</p><p>NAA Series BP262/2 9127 PART 3 Allied Works Council Queensland - Annual Report on activities of AWC, barcode 438605</p>"
